Organisation Name,Section,Costs (Higher),Financial year: End Date
Interel European Affairs,I - Professional consultancies/law firms/self-employed consultants,4999999,01/12/2017
Royal Institution of Chartered Surveyors (RICS),II - In-house lobbyists and trade/business/professional associations,99999,01/07/2017
"Association de l'Aviculture, de l'Industrie et du Commerce de Volailles dans les Pays de l'Union Europeenne asbl (a.v.e.c.)",II - In-house lobbyists and trade/business/professional associations,499999,01/01/2017
Latvijas Tirgot_ju asoci_cija (LTA),III - Non-governmental organisations,9999,01/12/2017
Conf_d_ration des Fabricants de Levure de l'Union Europ_enne (COFALEC),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2017
ARD-Verbindungsbôro Brôssel,II - In-house lobbyists and trade/business/professional associations,499999,01/08/2017
Verband deutscher Pfandbriefbanken e.V. (vdp),II - In-house lobbyists and trade/business/professional associations,599999,01/12/2017
AbedGraham Healthcare Strategies Ltd,I - Professional consultancies/law firms/self-employed consultants,9999,01/09/2017
Danish District Heating Association/Dansk Fjernvarme (DDHA),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2017
PUERTO DE CELEIRO S.A.,II - In-house lobbyists and trade/business/professional associations,24999,01/06/2017
Landwirtschaftskammer ƒsterreich (LKƒ),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2017
The Fullilove Consulting Group (TFCG),I - Professional consultancies/law firms/self-employed consultants,24999,01/12/2017
Cr_dit Agricole S.A.,II - In-house lobbyists and trade/business/professional associations,299999,01/11/2017
Bertagni Consulting srl,I - Professional consultancies/law firms/self-employed consultants,9999,01/01/2017
VERBOND VAN BELGISCHE ONDERNEMINGEN / FEDERATION DES ENTREPRISES DE BELGIQUE (VBO / FEB),II - In-house lobbyists and trade/business/professional associations,499999,01/12/2017
Eastern Norway County Network (ENCN),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",199999,01/12/2017
Chemical Business Association (CBA),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2017
Climate Action Network Europe (CAN Europe),III - Non-governmental organisations,1249999,01/12/2017
Union of European Chambers of Commerce for Transport (UECC),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2017
eVat Solutions Ltd T/A Taxamo.com (taxamo),II - In-house lobbyists and trade/business/professional associations,2000,01/01/2017
CHORUSCONSULT,I - Professional consultancies/law firms/self-employed consultants,9999,01/01/2017
Bundesverband der Deutschen Spirituosen-Industrie und -Importeure e. V. (BSI),II - In-house lobbyists and trade/business/professional associations,32000,01/12/2017
Lithuanian Business Representation in Brussels (LITBRE),II - In-house lobbyists and trade/business/professional associations,100000,01/01/2017
Volvo AB (Volvo),II - In-house lobbyists and trade/business/professional associations,499999,01/01/2017
International Road Transport Union Permanent Delegation to the EU (IRU),II - In-house lobbyists and trade/business/professional associations,499999,01/12/2017
European Aerosol Federation (FEA),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2017
Bundesverband Deutscher Privatkliniken e.V. (BDPK),II - In-house lobbyists and trade/business/professional associations,9999,01/06/2017
Asociaci„n Hipotecaria Espa_ola (AHE),II - In-house lobbyists and trade/business/professional associations,180000,01/12/2017
Intesa Sanpaolo,II - In-house lobbyists and trade/business/professional associations,399999,01/12/2017
MAN  SE (MAN),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2017
European Plastic Window Association (EPW),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
Sinop University Fisheries Faculty (SNU-FF),"IV - Think tanks, research and academic institutions",9999,01/01/2017
NVPI (NVPI),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
Japan Center for International Finance (JCIF),"IV - Think tanks, research and academic institutions",499999,01/03/2017
F_d_ration Nationale de l'Aviation Marchande (FNAM),II - In-house lobbyists and trade/business/professional associations,24999,01/05/2017
Cargill,II - In-house lobbyists and trade/business/professional associations,99999,01/05/2017
European Materials Handling Federation (FEM),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2017
AgriBrussels,III - Non-governmental organisations,9999,01/12/2017
EUTurbines (EUTurbines),II - In-house lobbyists and trade/business/professional associations,399999,01/12/2017
PANASONIC EUROPE LTD (PEELIA),II - In-house lobbyists and trade/business/professional associations,599999,01/03/2017
VƒP - Verband ƒsterreichischer Privatsender (VƒP),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
Plan International EU Office (n.a.),III - Non-governmental organisations,699999,01/06/2017
Aula Europe (Aula),I - Professional consultancies/law firms/self-employed consultants,399999,01/03/2017
Gesamtverband Steinkohle e. V. (GVSt),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
Federation of the European Building Joinery Associations (FEMIB) (FEMIB),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
Bundesverband Deutscher Versicherungskaufleute (BVK) e.V. (BVK),II - In-house lobbyists and trade/business/professional associations,10000,01/12/2017
Designer Group,II - In-house lobbyists and trade/business/professional associations,9999,01/01/2017
Federation of Small Businesses (FSB),II - In-house lobbyists and trade/business/professional associations,24999,01/03/2017
Industrievereinigung Chemiefaser e. V. (IVC),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
"Hitachi Corporate Office, Europe (Hitachi)",II - In-house lobbyists and trade/business/professional associations,1249999,01/03/2017
BENEO,II - In-house lobbyists and trade/business/professional associations,24999,01/02/2017
OXFAM INTERNATIONAL EU ADVOCACY OFFICE (OXFAM INTERNATIONAL),III - Non-governmental organisations,999999,01/03/2017
Association of European Manufacturers of Sporting Firearms (ESFAM),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
European Federation of Campingsite Organisations (EFCO&HPA),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2017
United European Tattoo Artists e.V. (UETA),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
Centralvereinigung Deutscher Wirtschaftsverb_nde fôr Handelsvermittlung und Vertrieb e.V. (CDH),II - In-house lobbyists and trade/business/professional associations,9999,01/03/2017
European Insulation Manufacturers Association (EURIMA),II - In-house lobbyists and trade/business/professional associations,199999,01/03/2017
Associcaç†o dos Armadores da Pesca Costeira e Largo da Zona Oeste (AAPLCLZO),II - In-house lobbyists and trade/business/professional associations,1000,01/12/2017
Alstom,II - In-house lobbyists and trade/business/professional associations,299999,01/03/2017
ORGANIZACIÓN DE PRODUCTORES DE PESCA DE BAJURA DE BIZKAIA (OPESCAYA),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2017
Glass for Europe,II - In-house lobbyists and trade/business/professional associations,300000,01/12/2017
LVMH Publica (LVMH Publica),II - In-house lobbyists and trade/business/professional associations,1249999,01/12/2017
"FRUCOM - European Federation of the Trade in Dried Fruit, Edible Nuts, Processed Fruit & Vegetables, Processed Fishery Products, Spices and Honey (FRUCOM)",II - In-house lobbyists and trade/business/professional associations,222000,01/12/2017
European Gaming and Betting Association (EGBA),II - In-house lobbyists and trade/business/professional associations,399999,01/12/2017
Twitter International Company (TIC),II - In-house lobbyists and trade/business/professional associations,49999,01/01/2017
Lôtzenkirchen (HGL),I - Professional consultancies/law firms/self-employed consultants,9999,01/01/2017
Dell Inc.,II - In-house lobbyists and trade/business/professional associations,499999,01/02/2017
EHRENBERG Kommunikation GmbH,I - Professional consultancies/law firms/self-employed consultants,49999,01/03/2017
Comit_ Colbert,"IV - Think tanks, research and academic institutions",49999,01/12/2017
European Federation of Older Students in Universities (EFOS),III - Non-governmental organisations,9999,01/12/2017
Association Française des Investisseurs Institutionnels (Af2i),II - In-house lobbyists and trade/business/professional associations,599999,01/12/2017
"Bundesverband h_herer Berufe der Technik, Wirtschaft und Gestaltung e. V. (BVT)",II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
FEDERACIÓN DE COFRADêAS DE PESCADORES DE BIZKAIA,II - In-house lobbyists and trade/business/professional associations,199999,01/12/2017
European Association for the Consumption-based billing of Energy Costs (E.V.V.E.),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2017
Association of Independent Tour Operators (AITO),II - In-house lobbyists and trade/business/professional associations,9999,01/08/2017
"__________ _________ ""__________ ______"" (CA_RF)",III - Non-governmental organisations,24999,01/12/2017
Gesellschaft zur Rettung der Delphine e.V. (GRDeV),III - Non-governmental organisations,9999,01/12/2017
UNIÓN ESPA‹OLA DE ENTIDADES ASEGURADORAS Y REASEGURADORAS (UNESPA),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2017
Zero Waste Scotland,"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",20000,01/03/2017
ASSOERBE (ASSOERBE),III - Non-governmental organisations,49999,01/12/2017
Erasmus Student Network (ESN),III - Non-governmental organisations,199999,01/12/2017
World Vision Brussels & EU Representation ivzw/aisbl (WV EUREP),III - Non-governmental organisations,399999,01/09/2017
European Federation of Nurses Associations (EFN),III - Non-governmental organisations,443601,01/12/2017
Royal Metaalunie (MU),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2017
dbb beamtenbund und tarifunion (dbb),II - In-house lobbyists and trade/business/professional associations,200000,01/12/2017
FEDERDISTRIBUZIONE,II - In-house lobbyists and trade/business/professional associations,199999,01/12/2017
COMITE EUROPEEN des FABRICANTS de SUCRE (CEFS),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2017
Europolitis,I - Professional consultancies/law firms/self-employed consultants,199999,01/03/2017
FTTH Council Europe ASBL (FTTH Council Europe),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2017
Associazione Italiana Chiropratici (AIC),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2017
The Association of Danish Travel Agents and Tour Operators (DRF),III - Non-governmental organisations,24999,01/12/2017
Vodafone Belgium SA (VBSA),II - In-house lobbyists and trade/business/professional associations,1249999,01/03/2017
"Daikin AC Spain, S.A.",II - In-house lobbyists and trade/business/professional associations,9999,01/03/2017
Federation of European Bearing Manufacturers' Associations (FEBMA),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2017
CEC European Managers - Conf_d_ration Europ_enne des Cadres (CEC),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2017
ACP Civil Society Forum (ACP CSF),III - Non-governmental organisations,9999,01/12/2017
Bundesverband Keramische Rohstoffe und Industrieminerale e.V. (BKRI),II - In-house lobbyists and trade/business/professional associations,10000,01/04/2017
Trust in Digital Life (TDL),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2017
European Business Services Round Table (EBSRT),II - In-house lobbyists and trade/business/professional associations, -   ,01/12/2017
QUALCOMM Inc. (QCOM (NASDAQ)),II - In-house lobbyists and trade/business/professional associations,999999,01/09/2017
European Public Health Alliance (EPHA),III - Non-governmental organisations,299999,01/01/2017
HORACIO GONZALEZ ALEMAN,I - Professional consultancies/law firms/self-employed consultants,24999,01/12/2017
Studio Savorana & Partners - Dottori Commercialisti Associati (S&P),I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2017
DGRV - Deutscher Genossenschafts- und Raiffeisenverband e.V. (DGRV),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
Fondation J_r»me Lejeune,III - Non-governmental organisations,9999,01/06/2017
European Providers of Vocational Education and Training (EUproVET),III - Non-governmental organisations,9999,01/01/2017
Swissport International Ltd. (SPI),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2017
Irish Tax Institute (ITI),II - In-house lobbyists and trade/business/professional associations,9999,01/03/2017
Kaupan liitto ry - Finnish Commerce Federation,II - In-house lobbyists and trade/business/professional associations,299999,01/12/2017
ISOBRO - The Danish Fundraising Association (ISOBRO),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
eurolobby (eurolobby),I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2017
Pohjois-Pohjanmaan lintutieteellinen yhdistys ry (PPLY),III - Non-governmental organisations,9999,01/12/2017
Finance & Leasing Association (FLA),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2017
Freight Transport Association (FTA),II - In-house lobbyists and trade/business/professional associations,199999,01/03/2017
Aurubis AG,II - In-house lobbyists and trade/business/professional associations,599999,01/09/2017
Union Nationale des Services Publics Indsutriels et Commerciaux (UNSPIC),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
Federazione Italiana dell'Industria Alimentare (Federalimentare),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
Canada Europe Roundtable for Business (CERT),II - In-house lobbyists and trade/business/professional associations,20000,01/12/2017
Europ_ische Feuerst_tten Arbeitsgemeinschaft e.V. (EFA e.V.),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
Federacion de Aridos - FdA (FdA),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2017
Gesamtverband Autoteile-Handel e.V. (GVA),II - In-house lobbyists and trade/business/professional associations,599999,01/12/2017
Bundesverband der Deutschen Tourismuswirtschaft e. V. (BTW),II - In-house lobbyists and trade/business/professional associations,35000,01/12/2017
BT Group plc (BT),II - In-house lobbyists and trade/business/professional associations,1050000,01/03/2017
Chelgate Limited,I - Professional consultancies/law firms/self-employed consultants,199999,01/12/2017
GasINDUSTRIAL (GasINDUSTRIAL),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2017
Bundesverband der Deutschen Ziegelindustrie e.V. (ZIEGEL),II - In-house lobbyists and trade/business/professional associations,10000,01/12/2017
Build a Better Bank (BUBEBA),"IV - Think tanks, research and academic institutions",9999,01/09/2017
Danish Dairy Board Brussels s.a. (DDBB),II - In-house lobbyists and trade/business/professional associations,499999,01/12/2017
Gruppo Strumentale Ciampi (CIAMPI),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
STEP,II - In-house lobbyists and trade/business/professional associations,9999,01/02/2017
Verband Deutscher Schleifmittelwerke (VDS),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2017
Kommission Arbeitsschutz und Normung (KAN),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",24999,01/12/2017
Fachverband der chemischen Industrie ƒsterreichs (FV Chemie),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2017
"Asociaci„n de empresas de pesca de bacalao, especies afines y asociadas. (ARBAC)",II - In-house lobbyists and trade/business/professional associations,24999,01/12/2017
EU Federation for the Factoring and Commercial Finance Industry (EUF),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2017
Vereniging VNO-NCW (VNO-NCW),II - In-house lobbyists and trade/business/professional associations,799999,01/01/2017
Cruise Lines International Association Europe (CLIA Europe),II - In-house lobbyists and trade/business/professional associations,799999,01/12/2017
Centre for Regional Development STABILITY (STABILITY),III - Non-governmental organisations,9999,01/01/2017
Union sociale pour l'habitat (USH),II - In-house lobbyists and trade/business/professional associations,499999,01/01/2017
EURES Cyprus NCO (EURES CY),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",99999,01/12/2017
Raffaello Dinacci (Dinacci & Partners),II - In-house lobbyists and trade/business/professional associations,24999,01/06/2017
Panhellenic Union of Pharmaceutical Industry (PEF),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2017
Privacy International (PI),III - Non-governmental organisations,9999,01/01/2017
Assoziierte Dolmetscher und Êbersetzer in Norddeutschland e.V. (ADÊ Nord e. V.),II - In-house lobbyists and trade/business/professional associations,9999,01/04/2017
Unioncamere Europa asbl,II - In-house lobbyists and trade/business/professional associations,599999,01/12/2017
"European Federation of National Associations of Measurement, Testing and Analytical Laboratories (EUROLAB)",II - In-house lobbyists and trade/business/professional associations,99999,01/12/2017
"ICMP, the global voice of music publishing (ICMP)",III - Non-governmental organisations,199999,01/12/2017
European Association of Faculties of Pharmacy (EAFP),"IV - Think tanks, research and academic institutions",9999,01/01/2017
Verteego (Emerald Vision SA) (Verteego),II - In-house lobbyists and trade/business/professional associations,1000,01/12/2017
Superyacht Builders Assocation (SYBAss),II - In-house lobbyists and trade/business/professional associations,15000,01/12/2017
Land&Forst Betriebe ƒsterreich / Association of Austrian Land and Forest Owners (LFBƒ),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2017
Den norske Revisorforening (Revisorforeningen),II - In-house lobbyists and trade/business/professional associations,20000,01/12/2017
association force ouvrière consommateurs (AFOC),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
EUROALLIAGES,II - In-house lobbyists and trade/business/professional associations,1249999,01/12/2017
European Special Glass Association (ESGA),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2017
Consumer Council for Water (CCWater),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/03/2017
Associazione Nazionale Alleanza Pescatori Ricreativi (APR),III - Non-governmental organisations,9999,01/12/2017
International Cost Engineering Council (ICEC),II - In-house lobbyists and trade/business/professional associations,9999,01/06/2017
Verband der Deutschen Biokraftstoffindustrie (VDB),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2017
C.R.E.A.M. Europe PPP Alliance (C.R.E.A.M.),III - Non-governmental organisations,499999,01/12/2017
European Society of Preventive Medicine (ESPREVMED),III - Non-governmental organisations,9999,01/02/2017
Conservation International Europe (CI-E),III - Non-governmental organisations,199999,01/06/2017
EU Umweltbôro (EUUB),III - Non-governmental organisations,49999,01/04/2017
Conf_d_ration Française de l'Encadrement- Conf_d_ration G_n_rale des Cadres des Industries Electriques et Gazières (CFE CGC Energies),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2017
Stiftung Deutscher Kôstenschutz (SDK),III - Non-governmental organisations,9999,01/12/2017
South East European Centre for Entrepreneurial Learning (SEECEL),III - Non-governmental organisations,9999,01/12/2017
Centro studi di Diritto Pubblico - Dipartimento di Management dell'Universit_ degli Studi di Torino,"IV - Think tanks, research and academic institutions",9999,01/12/2017
The British Antique Dealers' Association (BADA),II - In-house lobbyists and trade/business/professional associations,24999,01/06/2017
Wirtschaftliche Vereinigung Zucker e.V. (WVZ),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
Federation of Associations of Utilities Companies in Energy field (ACUE),II - In-house lobbyists and trade/business/professional associations,9999,01/01/2017
WaterAid,III - Non-governmental organisations,9999,01/03/2017
European Candle Association (ECA),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2017
Verband fôr Deutschlands Video- und Computerspieler (VDVC),III - Non-governmental organisations,9999,01/12/2017
European Mobile Seed Association (EMSA),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2017
International Chemical Secretariat (ChemSec),III - Non-governmental organisations,299999,01/12/2017
ASOCIACION DE ABOGADOS CRISTIANOS (AEAC),III - Non-governmental organisations,9999,01/03/2017
Jssor Youth Organization,III - Non-governmental organisations,9999,01/01/2017
Global Reporting Initiative,III - Non-governmental organisations,24999,01/06/2017
Muenchener Rueckversicherungs-Gesellschaft Aktiengesellschaft in Muenchen (Munich Re),II - In-house lobbyists and trade/business/professional associations,499999,01/12/2017
Epilepsy Alliance Europe (EAE),III - Non-governmental organisations,49999,01/12/2017
Fundaci„n Empresa Universidad Galicia (FEUGA),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",199999,01/01/2017
NNFCC limited (NNFCC),I - Professional consultancies/law firms/self-employed consultants,199999,01/03/2017
Union Asset Management Holding AG (UMH),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2017
Association for Consumer Rights (MALTA) (ACR),III - Non-governmental organisations,9999,01/01/2017
Association of Finnish Suppliers of Labour Safety Equipment (STYL),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
European Structured Investment Products Association (EUSIPA),II - In-house lobbyists and trade/business/professional associations,399999,01/12/2017
European CIO Association (EuroCIO),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2017
Norwegian Oil and Gas Association (Norsk olje og gass),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
BOGIN (BOGIN),II - In-house lobbyists and trade/business/professional associations,9999,01/01/2017
Verbond van Verzekeraars / Dutch Association of Insurers,II - In-house lobbyists and trade/business/professional associations,199999,01/01/2017
Llanbury Consulting Limited (LLC),I - Professional consultancies/law firms/self-employed consultants,9999,01/05/2017
North Norway European Office,"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/12/2017
"Tax Executives Institute, Inc. (TEI)",II - In-house lobbyists and trade/business/professional associations,9999,01/06/2017
ASD MARGHERITA SPORT E VITA (MSV Basket),III - Non-governmental organisations,49999,01/11/2017
