Organisation Name,Section,Costs (Higher),Financial year: End Date
Naturschutzbund Deutschland e.V. (NABU),III - Non-governmental organisations,399999,01/12/2015
Manufacture Française des Pneumatiques Michelin (MFPM),II - In-house lobbyists and trade/business/professional associations,899999,01/12/2015
FEDEREC - Federation des Entreprises du Recyclage (FEDEREC),II - In-house lobbyists and trade/business/professional associations,9999,01/11/2015
F_d_ration Française des Tuiles et Briques (FFTB),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2015
Associazione Nazionale fra le Imprese Assicuratrici (ANIA),II - In-house lobbyists and trade/business/professional associations,530000,01/12/2015
Airbus Group N.V.,II - In-house lobbyists and trade/business/professional associations,1999999,01/12/2015
"Association Internationale de la Savonnerie, de la D_tergence et des Produits d'Entretien (A.I.S.E.)",II - In-house lobbyists and trade/business/professional associations,499999,01/12/2015
EUROPEAN ASSOCIATION OF DAIRY TRADE (EUCOLAIT),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2015
VDE Verband der Elektrotechnik Elektronik Informationstechnik (VDE),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2015
SURFRIDER FOUNDATION EUROPE (SFE),III - Non-governmental organisations,99999,01/12/2015
Deutscher Anwaltverein (DAV),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2015
Hutchison Europe - Brussels Branch (HEBB),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2015
S_chsische Energieagentur - SAENA GmbH (SAENA),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/12/2015
British American Tobacco (BAT),II - In-house lobbyists and trade/business/professional associations,2499999,01/12/2015
Madison International Institute & Business School (MIIBS),"IV - Think tanks, research and academic institutions",9999,01/12/2015
SNCF (SNCF),II - In-house lobbyists and trade/business/professional associations,599999,01/12/2015
Municipal Waste Europe (MWE),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",199999,01/12/2015
European Confederation of Pharmaceutical Entrepreneurs (EUCOPE),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2015
European Transport Workers' Federation (ETF),II - In-house lobbyists and trade/business/professional associations,499999,01/12/2015
European Institute for Export Compliance (EIFEC),"IV - Think tanks, research and academic institutions",499999,01/12/2015
Scottish Salmon Producers' Organisation (SSPO),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Istituto Tethys (Tethys),III - Non-governmental organisations,9999,01/12/2015
MBDA,II - In-house lobbyists and trade/business/professional associations,49999,01/12/2015
Association Europ_enne pour la d_fense des droits de l'Homme (AEDH),III - Non-governmental organisations,49999,01/12/2015
European Potato Trade Association (Europatat),II - In-house lobbyists and trade/business/professional associations,130000,01/12/2015
Friends of the Countryside asbl (FCS asbl),III - Non-governmental organisations,99999,01/12/2015
institut fôr finanzdienstleistungen (iff),"IV - Think tanks, research and academic institutions",9999,01/12/2015
European Landowners'  Organization asbl (ELO asbl),III - Non-governmental organisations,299999,01/12/2015
CEEP - European Centre of Employers and Enterprises providing Public Services and Services of General Interest (CEEP),III - Non-governmental organisations,964500,01/12/2015
SAVENCIA FROMAGE & DAIRY OVERSEAS,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
European agri-cooperatives (COGECA),II - In-house lobbyists and trade/business/professional associations,1249999,01/12/2015
CARE Deutschland-Luxemburg e.V. (CARE DL),III - Non-governmental organisations,9999,01/12/2015
Pollet Environmental Consulting,I - Professional consultancies/law firms/self-employed consultants,24999,01/12/2015
Federaci„n Espa_ola de Empresarios Profesionales de Automoci„n (CONEPA),III - Non-governmental organisations,9999,01/12/2015
"Bundesverband Deutscher Innovations-, Technologie- und Grônderzentren e.V. (BVIZ)",II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
syndicat de l'industrie du m_dicament et diagnostic v_t_rinaires (SIMV),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
"Solidariet_ e Cooperazione ""CIPSI"" Coordinamento di Iniziative Popolari di Solidariet_ Internazionale (CIPSI)",III - Non-governmental organisations,9999,01/12/2015
Safran,II - In-house lobbyists and trade/business/professional associations,495000,01/12/2015
Association des Constructeurs Europ_ens de Motocycles (ACEM),II - In-house lobbyists and trade/business/professional associations,399999,01/12/2015
European farmers (COPA),II - In-house lobbyists and trade/business/professional associations,1249999,01/12/2015
Europ_ische ARGE Landentwicklung und Dorferneuerung (ARGE),III - Non-governmental organisations,9999,01/12/2015
Universite de Liege (ULg),"IV - Think tanks, research and academic institutions",9999,01/12/2015
International Trade Union Confederation (ITUC),II - In-house lobbyists and trade/business/professional associations,202385,01/12/2015
European Union for Responsible Incineration and Treatment of Special Waste (Eurits),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2015
Chamber of Commerce and Industry of Serbia (CCIS),II - In-house lobbyists and trade/business/professional associations,100000,01/12/2015
Consorzio nazionale per la raccolta il riciclaggio e il recupero degli imballaggi in plastica (COREPLA),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2015
Oxfam-Wereldwinkels vzw (OWW),III - Non-governmental organisations,9999,01/12/2015
Wirtschaftsvereinigung Stahl (WV Stahl),II - In-house lobbyists and trade/business/professional associations,400000,01/12/2015
Connect-EU Materials Group (Connect-EU Materials),"IV - Think tanks, research and academic institutions",9999,01/12/2015
ANTHENOR Public Affairs,I - Professional consultancies/law firms/self-employed consultants,49999,01/12/2015
Open Doors International (ODI),III - Non-governmental organisations,24999,01/12/2015
European Federation of Energy Traders (EFET),II - In-house lobbyists and trade/business/professional associations,499999,01/12/2015
Community Media Forum Europe (CMFE),III - Non-governmental organisations,9999,01/12/2015
Verband Deutscher Papierfabriken e.V. (VDP),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Investitionsbank Schleswig-Holstein (IB.SH),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2015
Germanwatch,III - Non-governmental organisations,9999,01/12/2015
Lexxion Verlagsgesellschaft mbH,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
European Association of Polyol Producers (EPA),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2015
CONCEPTIVITY,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Association of Foreign Banks (AFB),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Assomela,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Forprogest Spa (Forprogest),"IV - Think tanks, research and academic institutions",9999,01/12/2015
British Specialist Nutrition Association (BSNA),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
UNION FLEURS - The International Flower Trade Association (UNION FLEURS),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2015
AQUA - Association Europ_enne des Fabricants de Compteurs dêEau et dêEnergie Thermique (AQUA),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2015
Diehl Stiftung & Co. KG (Diehl),II - In-house lobbyists and trade/business/professional associations,220000,01/12/2015
Brucovie Consult sprl,I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2015
International VAT Association (IVA),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2015
Suomen Musiikkikustantajat ry (FMPA),II - In-house lobbyists and trade/business/professional associations, -   ,01/12/2015
Performing Arts Forum (PAF),III - Non-governmental organisations,199999,01/12/2015
The International Association of Independent Tanker Owners (INTERTANKO),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
FEDERACION GALLEGA DE COFRADIAS DE PESCADORES,"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/12/2015
PA Europe,I - Professional consultancies/law firms/self-employed consultants,499999,01/12/2015
Kellen,I - Professional consultancies/law firms/self-employed consultants,399999,01/12/2015
Bruderschaft der Drachen internationale Hilfsorganisation (BOD),III - Non-governmental organisations,49999,01/12/2015
Nederlandse Cosmetica Vereniging (NCV),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
European Committee for Electrotechnical Standardization (CENELEC),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2015
British Insurance Brokers' Association (BIBA),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Bulgarian Society for Rail Transport (BSRT),"IV - Think tanks, research and academic institutions",9800,01/12/2015
Associazione fra le societ_ italiane per azioni (ASSONIME),II - In-house lobbyists and trade/business/professional associations,150000,01/12/2015
Association Internationale des Techniciens Experts et Chercheurs (AITEC),III - Non-governmental organisations,24999,01/12/2015
European Anglers Alliance (EAA),III - Non-governmental organisations,199999,01/12/2015
Stichting Nederland Kennisland (KL),"IV - Think tanks, research and academic institutions",99999,01/12/2015
ECDL Foundation (ECDL),III - Non-governmental organisations,399999,01/12/2015
associazione nazionale orientatori (ASNOR),"IV - Think tanks, research and academic institutions",9999,01/12/2015
Ornamental Fish International (OFI),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2015
Schuttelaar & Partners (S&P),I - Professional consultancies/law firms/self-employed consultants,199999,01/12/2015
ISFE - Representing the European Videogame Industry (ISFE),II - In-house lobbyists and trade/business/professional associations,399999,01/12/2015
Fundacio Privada Internacional Josep Carreras (FIJC),III - Non-governmental organisations,9999,01/12/2015
Europa-Union Deutschland e. V. (EUD),III - Non-governmental organisations,9999,01/12/2015
LIBER (LIBER),III - Non-governmental organisations,9999,01/12/2015
ASOCIACIÓN ESPA‹OLA DE PRODUCTORES DE HUEVOS (ASEPRHU),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
European University Association (EUA),III - Non-governmental organisations,1249999,01/12/2015
Organising Bureau of European School Student Unions (OBESSU),III - Non-governmental organisations,245833,01/12/2015
International Union of Tenants (IUT),III - Non-governmental organisations,49999,01/12/2015
Handwerkskammer Niederbayern-Oberpfalz (HWKNO),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",49999,01/12/2015
EUROCITIES,III - Non-governmental organisations,4999999,01/12/2015
European Federation of Inland Ports (EFIP),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
NBCUniversal International (NBCU),II - In-house lobbyists and trade/business/professional associations,300000,01/12/2015
Horitz„ Europa (HE),III - Non-governmental organisations,9999,01/12/2015
Foundation for strong European Regions (Foster Europe),III - Non-governmental organisations,49999,01/12/2015
Austrian Institute for European Law and Policy (AIELP),III - Non-governmental organisations,71081,01/12/2015
Legambiente Onlus (Legambiente),III - Non-governmental organisations,49999,01/12/2015
Novo Nordisk,II - In-house lobbyists and trade/business/professional associations,49999,01/12/2015
"SECIL-Companhia Geral de Cal e Cimento, S.A. (SECIL)",II - In-house lobbyists and trade/business/professional associations,1249999,01/12/2015
Entidad de Gesti„n de Derechos de los Productores Audiovisuales (EGEDA),III - Non-governmental organisations,99999,01/12/2015
Conf_d_ration des Syndicats Chr_tiens (ACV-CSC),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2015
Balkan Civil Society Developmet Network (BCSDN),III - Non-governmental organisations,9999,01/12/2015
Lega Nazionale delle Cooperative e Mutue (LEGACOOP),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2015
Fachverband der Gas- und W_rmeversorgungsunternehmungen (FGW),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Bundesverband Ethik e.V. (BVE),III - Non-governmental organisations,9999,01/12/2015
GESP - groupement des Entreprises de Service _ la Personne (GESP),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
European Council for the Village and Small Town (ECOVAST),III - Non-governmental organisations,9999,01/12/2015
Cluster maritime luxembourgeois (CML),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2015
"ƒsterreichischer Automobil-, Motorrad- und Touring Club (ƒAMTC)",III - Non-governmental organisations,9999,01/12/2015
European Barge Union (EBU),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2015
Stefan Scheuer (STS),I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2015
RAI RADIOTELEVISIONE ITALIANA SpA (RAI),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2015
Associaç†o Portuguesa de Bancos (APB),II - In-house lobbyists and trade/business/professional associations,599999,01/12/2015
Institute of Risk Management (IRM),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/06/2015
Soci_t_ des auteurs et compositeurs dramatiques (SACD),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2015
"Verein zur F_rderung des Handels, Handwerks und der Industrie e. V. (VFHI)",II - In-house lobbyists and trade/business/professional associations,40000,01/12/2015
Bundeskammer der Architekten und Ingenieurkonsulenten (bAIK),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2015
Packaging Recovery Organisation Europe (PRO EUROPE),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2015
Channel 4,II - In-house lobbyists and trade/business/professional associations,24999,01/12/2015
"Evropskˆ  liga na ochranu lidsk_ d_stojnosti o.s.- European league for the defense of human dignity,c.a.",III - Non-governmental organisations,24999,01/12/2015
European Money Markets Institute (EMMI),III - Non-governmental organisations,599999,01/12/2015
Natuurmonumenten (NM),III - Non-governmental organisations,9999,01/12/2015
"Europ_ische Plattform fôr die Gewinnung unterirdischer Energie (""Earth Energy"")",III - Non-governmental organisations,9999,01/12/2015
Irish Wind Energy Association (IWEA),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Lega Italiana Protezione Uccelli (LIPU-Birdlife Italia),III - Non-governmental organisations,9999,01/12/2015
Deutscher Tierschutzbund - German Animal Welfare Federation (DTSchB),III - Non-governmental organisations,9999,01/12/2015
Vereniging van Nederlandse Gemeenten (VNG),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/12/2015
Stiftung Globility Circle,III - Non-governmental organisations,49999,01/12/2015
Autorit_ de R_gulation Professionnelle de la Publicit_ (ARPP),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Verein der mittelst_ndischen Wirtschaft e. V. (VMW) (VMW),II - In-house lobbyists and trade/business/professional associations,40000,01/12/2015
Stiftelsen SINTEF (SINTEF),"IV - Think tanks, research and academic institutions",9999,01/12/2015
CONFAGRICOLTURA EMILIA-ROMAGNA,II - In-house lobbyists and trade/business/professional associations,24999,01/12/2015
PHOENIX CONTACT GmbH & Co. KG (PHOENIX CONTACT),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Hungarian Coeliac Society (HCS),III - Non-governmental organisations,9999,01/12/2015
European Automotive Research Partners Association (EARPA),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2015
An Taisce The National Trust for Ireland (ATNTI),III - Non-governmental organisations,9999,01/12/2015
Syndicat national des entreprises artistiques et culturelles (SYNDEAC),II - In-house lobbyists and trade/business/professional associations,1500000,01/12/2015
Children's Rights Alliance Ireland,III - Non-governmental organisations,9999,01/12/2015
R_seau International pour la Diversit_ Culturelle EUROPE (RIDC Europe),III - Non-governmental organisations,9999,01/12/2015
European Diagnostic Manufacturers Association (EDMA),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2015
DS Avocats A.A.R.P.I (DS Avocats),I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2015
ProSpecieRara (PSR),III - Non-governmental organisations,24999,01/12/2015
Verdens Skove,III - Non-governmental organisations,9999,01/12/2015
European Business Club Association (EBC),III - Non-governmental organisations,24999,01/12/2015
Danish Fishermen's PO (dkfisk),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2015
FUNDACION EUROPEA SOCIEDAD Y EDUCACION (EFSE),"IV - Think tanks, research and academic institutions",9999,01/12/2015
Partnership for Social Development (PSD),III - Non-governmental organisations,9999,01/12/2015
Union des Producteurs Francophones de Films (UPFF),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Vergote Group,"IV - Think tanks, research and academic institutions",9999,01/12/2015
European Institute for Democratic Participation (EIDP),III - Non-governmental organisations,9999,01/12/2015
Comeos for commerce and services (Comeos),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Fundaci„ Catalunya Europa (FCE),"IV - Think tanks, research and academic institutions",9999,01/12/2015
______ _________ __________ - Hellenic Culture Centre (HCC),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2015
Netherlands Organisation for Applied Scientific Research TNO (TNO),"IV - Think tanks, research and academic institutions",9999,01/12/2015
Grônenthal GmbH (Grônenthal),II - In-house lobbyists and trade/business/professional associations,399999,01/12/2015
Harwood Levitt Consulting (HLC),I - Professional consultancies/law firms/self-employed consultants,49999,01/12/2015
"Council of European Employers of the Metal, Engineering and Technology-based Industries (CEEMET)",II - In-house lobbyists and trade/business/professional associations,199999,01/12/2015
Sociedad Espa_ola de OrnitologÍa (SEO),III - Non-governmental organisations,9999,01/12/2015
Colegio Oficial de Ingenieros T_cnicos en Informˆtica de Castilla-La Mancha (COITICLM),II - In-house lobbyists and trade/business/professional associations,100,01/12/2015
UNION DE PETROLEROS INDEPENDIENTES (UPI),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2015
Zentralverband Oberfl_chentechnik e.V. (ZVO),II - In-house lobbyists and trade/business/professional associations,450000,01/12/2015
Forum italiano sulla fatturazione elettronica,III - Non-governmental organisations,9999,01/12/2015
DSW (Deutsche Stiftung Weltbevoelkerung) (DSW),III - Non-governmental organisations,599999,01/12/2015
Fondazione Paolo Procacci (FPP),"IV - Think tanks, research and academic institutions",9999,01/12/2015
Libraries and Archives Copyright Alliance (LACA),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
House of the Dutch Provinces (HNP),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/12/2015
Ordine dei Dottori Commercialisti e degli Esperti Contabili (ODCEC Milano),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/12/2015
Kneipp-Bund e.V. - Bundesverband fôr Gesundheitsf_rderung und Pr_vention (Kneipp-Bund),III - Non-governmental organisations,9999,01/12/2015
European Risk Forum (ERF),"IV - Think tanks, research and academic institutions",9999,01/12/2015
ACP Local Government Platform (ACPLGP),III - Non-governmental organisations,199999,01/12/2015
ƒsterreichs E-Wirtschaft (Oesterreichs Energie),II - In-house lobbyists and trade/business/professional associations,599999,01/12/2015
European Charities' Committee on VAT (ECCVAT),III - Non-governmental organisations,9999,01/12/2015
Wiener B_rse AG (WBAG),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Evropski forum - European Forum,III - Non-governmental organisations,9999,01/12/2015
Eurosite,III - Non-governmental organisations,24999,01/12/2015
ATD Quart Monde (ATD Quart Monde),III - Non-governmental organisations,49999,01/12/2015
Wageningen International Experts (WIx),I - Professional consultancies/law firms/self-employed consultants,49999,01/12/2015
Federatie Nederlandse Rubber- en Kunststofindustrie (Federatie NRK),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2015
Klub Przyrodnik„w (Naturalists Club Poland) (KP),III - Non-governmental organisations,9999,01/12/2015
DEMOGRAFICI ASSOCIATI (DeA),"IV - Think tanks, research and academic institutions",24999,01/12/2015
European Council of Optometry and Optics (ECOO),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2015
Societ_ Italiana per l'Organizzazione Internazionale (SIOI),"IV - Think tanks, research and academic institutions",49999,01/12/2015
POLIS,"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/12/2015
Cablexperts,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
"Colegio de Ingenieros de Caminos, Canales y Puertos (CICCP)",II - In-house lobbyists and trade/business/professional associations,24999,01/12/2015
CIVILSCAPE (CIVILSCAPE),III - Non-governmental organisations,24999,01/12/2015
ASSOCIATION DEFENSE DES INTERETS DES VETERINAIRES DANS L'APPLICATION DIRECTIVE SERVICES (DDS),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Water supply and sanitation Technology Platform (WssTP),III - Non-governmental organisations,49999,01/12/2015
"FAIB, FEDERATION OF EUROPEAN & INTERNATIONAL ASSOCIATIONS ESTABLISHED IN BELGIUM (FAIB)",III - Non-governmental organisations,9999,01/12/2015
Suomen Yritt_j_t ry (SY),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2015
"Centre de Documentation, de Recherche et d'Information des Peuples Autochtones (Docip)",III - Non-governmental organisations,24999,01/12/2015
FERN,III - Non-governmental organisations,599999,01/12/2015
F_d_ration Internationale de l'Automobile (FIA),II - In-house lobbyists and trade/business/professional associations,1200000,01/12/2015
Nederlandse Elasmobranchen Vereniging (NEV),III - Non-governmental organisations,9999,01/12/2015
OPERA Research Center (OPERA),"IV - Think tanks, research and academic institutions",9999,01/12/2015
Ford Motor Company (FMC),II - In-house lobbyists and trade/business/professional associations,599999,01/12/2015
European Foundation for the Care of Newborn Infants (EFCNI),III - Non-governmental organisations,24999,01/12/2015
AstraZeneca (AZ),II - In-house lobbyists and trade/business/professional associations,699999,01/12/2015
Climate Bonds Initiative (CBI),III - Non-governmental organisations,399999,01/12/2015
AVA & PARTNERS (-),I - Professional consultancies/law firms/self-employed consultants,99999,01/12/2015
Balearic Islands Coastal Observing and Forecasting System (ICTS-SOCIB),"IV - Think tanks, research and academic institutions",9999,01/12/2015
Av-tuottajien tekij_noikeusyhdistys Tuotos ry / Collective Society for Audiovisual Producers in Finland (TUOTOS),II - In-house lobbyists and trade/business/professional associations,499999,01/12/2015
World Association of Girl Guides and Girl Scouts (Europe Region) (EUROPE REGION WAGGGS),III - Non-governmental organisations,24999,01/12/2015
Dr2 Consultants,I - Professional consultancies/law firms/self-employed consultants,399999,01/12/2015
Stichting Cordaid (Cordaid),III - Non-governmental organisations,9999,01/12/2015
European Network of National Civil Society Associations (ENNA),III - Non-governmental organisations,49999,01/12/2015
Uni„n de Empresas Siderìrgicas (UNESID),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Momentive Performance Materials GmbH (MPM),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
European Association Automotive Suppliers (CLEPA),II - In-house lobbyists and trade/business/professional associations,3249999,01/12/2015
Rupprecht Consult - Forschung & Beratung GmbH (Rupprecht),I - Professional consultancies/law firms/self-employed consultants,1325225,01/12/2015
RADIOTELEVISIONI EUROPEE ASSOCIATE (REA),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
"Arizona Chemical. B.V., A Kraton company (Arizona Chemical)",II - In-house lobbyists and trade/business/professional associations,88541,01/12/2015
Netherlands Oil and Gas Exploration and Production Association (NOGEPA),II - In-house lobbyists and trade/business/professional associations,75000,01/12/2015
Scottish Chambers of Commerce (SCC),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Associazione Nazionale Industrie Farmaci Generici e Biosimilari (ASSOGENERICI),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
SOCIEDAD ESPA‹OLA DE ONCOLOGIA M€DICA (SEOM),"IV - Think tanks, research and academic institutions",9999,01/12/2015
Chemical Industry Federation of Finland (CIFF),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2015
Forest Stewardship Council Asociaci„n Civil (FSC),III - Non-governmental organisations,49999,01/12/2015
Energi Norge (Energy Norway),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Natuur & Milieu,III - Non-governmental organisations,9999,01/12/2015
SAINT-GOBAIN ISOVER (SGI),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2015
Volvo Car Corporation AB (Volvo Cars),II - In-house lobbyists and trade/business/professional associations,399999,01/12/2015
NASDAQ,II - In-house lobbyists and trade/business/professional associations,499999,01/12/2015
Comit_ Protestant _vang_lique pour la Dignit_ Humaine (CPDH),V - Organisations representing churches and religious communities,9999,01/12/2015
Gothenburg European Office (GEO),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/12/2015
Strauss&Partners (S&P),I - Professional consultancies/law firms/self-employed consultants,100000,01/12/2015
