Organisation Name,Section,Costs (Higher),Financial year: End Date
Interessengemeinschaft Deutscher Versicherungsmakler e.V. (IGVM e.V.),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2016
Community of European Railway and Infrastructure Companies (CER),II - In-house lobbyists and trade/business/professional associations,1249999,01/12/2016
World Federation of Advertisers (WFA),II - In-house lobbyists and trade/business/professional associations,799999,01/12/2016
European Atomic Forum (FORATOM),II - In-house lobbyists and trade/business/professional associations,399999,01/12/2016
THE TEACHER ACADEMY FOUNDATION (ORAV),III - Non-governmental organisations,24999,01/12/2016
Bundesverband Praktizierender Tier_rzte e. V. (bpt),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Electrolux Home Products,II - In-house lobbyists and trade/business/professional associations,399999,01/12/2016
Deutscher Verband der Aromenindustrie e. V. (DVAI),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2016
Strukton Rail (SR),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2016
Movimento Nazionale Liberi Farmacisti (MNLF),III - Non-governmental organisations,9999,01/12/2016
METALS FOR BUILDINGS (METALS FOR BUILDINGS),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
European Association for the Education of Adults (EAEA),III - Non-governmental organisations,280000,01/12/2016
F_d_ration Nationale de la Mutualit_ Française (FNMF),II - In-house lobbyists and trade/business/professional associations,400000,01/12/2016
Landbrug & Fèdevarer - Danish Agriculture and Food Council (DAFC),II - In-house lobbyists and trade/business/professional associations,599999,01/12/2016
European Federation of Waste Management and Environmental Services (FEAD),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
PensionsEurope,II - In-house lobbyists and trade/business/professional associations,699999,01/12/2016
Caritas Europa,III - Non-governmental organisations,1249999,01/12/2016
Syndicat National des Labels Avicoles de France (SYNALAF),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Finnish Transport and Logistics (SKAL),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
EUREC- The association of European Renewable Energy Research Centres (EUREC),II - In-house lobbyists and trade/business/professional associations,1710,01/12/2016
SANOFI GENZYME (Genzyme),II - In-house lobbyists and trade/business/professional associations,499999,01/12/2016
The Smoke Free Partnership (SFP),III - Non-governmental organisations,199999,01/12/2016
Accountancy Europe,II - In-house lobbyists and trade/business/professional associations,2200000,01/12/2016
PIOTR WIERZCHOWSKI (Piotr Wierzchowski),I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2016
DIE FæHRUNGSKR—FTE - DFK (DFK),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
European Association for Panels and Profiles (PPA-Europe),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2016
bpost NV,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
AIM European Brands Association (AIM),II - In-house lobbyists and trade/business/professional associations,399999,01/12/2016
Bundesarbeitsgemeinschaft der Freien Wohlfahrtspflege e.V. (BAGFW),III - Non-governmental organisations,199999,01/12/2016
Entreprises du Traiteur Frais (ETF),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Asociaciãn Multisectorial de la Informaciãn (Asedie),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2016
Ferratum Oyj,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Arconic Europe,II - In-house lobbyists and trade/business/professional associations,599999,01/12/2016
BioRefining Alliance (BRA),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
Suomen luonnonsuojelululiiton Uudenmaan piiri (SLL-UP),III - Non-governmental organisations,9999,01/12/2016
Bundesvereinigung der Deutschen Arbeitgeberverb_nde e.V. (BDA),II - In-house lobbyists and trade/business/professional associations,1749000,01/12/2016
Norsk Industri / Federation of Norwegian Industries (9434415651-11),II - In-house lobbyists and trade/business/professional associations,199999,01/11/2016
ExxonMobil Petroleum & Chemical (EMPC),II - In-house lobbyists and trade/business/professional associations,4749000,01/12/2016
FERROVIE DELLO STATO ITALIANE S.p.A. (FSI),II - In-house lobbyists and trade/business/professional associations,499999,01/12/2016
Danish Transport and Logistics Association (DTL),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
Confederation of European Waste-to-Energy Plants (CEWEP),II - In-house lobbyists and trade/business/professional associations,799999,01/12/2016
D_l_gation des Barreaux de France (DBF),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
Unilever,II - In-house lobbyists and trade/business/professional associations,399999,01/12/2016
EU Specialty Food Ingredients,II - In-house lobbyists and trade/business/professional associations,599999,01/12/2016
BP p.l.c. (BP),II - In-house lobbyists and trade/business/professional associations,2999999,01/12/2016
Febelfin,II - In-house lobbyists and trade/business/professional associations,699999,01/12/2016
"Service de lutte contre la pauvret_, la pr_carit_ et l'exclusion sociale","IV - Think tanks, research and academic institutions",599999,01/12/2016
Bundesverband der Deutschen Industrie e.V. (BDI),II - In-house lobbyists and trade/business/professional associations,2999999,01/12/2016
Association Française des March_s Financiers (AMAFI),II - In-house lobbyists and trade/business/professional associations,399999,01/12/2016
Deutsche Kinderhilfe e.V.,III - Non-governmental organisations,9999,01/12/2016
Bureau Europ_en des Unions de Consommateurs (BEUC),III - Non-governmental organisations,2499999,01/12/2016
European Healthcare Distribution Association (GIRP),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2016
Seldia - The European Direct Selling Association (Seldia),III - Non-governmental organisations,533000,01/12/2016
CYPRUS CHAMBER OF COMMERCE AND INDUSTRY (CCCI),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2016
Scotch Whisky Association (SWA),II - In-house lobbyists and trade/business/professional associations,799999,01/12/2016
EPIA SolarPower Europe,II - In-house lobbyists and trade/business/professional associations,599999,01/12/2016
ConocoPhillips (COP),II - In-house lobbyists and trade/business/professional associations,199999,01/01/2016
COOP de France (COOP de France),II - In-house lobbyists and trade/business/professional associations,199999,01/06/2016
Finland Chamber of Commerce (Keskuskauppakamari),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
Kindernothilfe (KNH),III - Non-governmental organisations,9999,01/12/2016
NRW.BANK,II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
"F_d_ration Label Rouge, IG et STG (FedeLIS)",II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Deutsche Bahn AG (DB),II - In-house lobbyists and trade/business/professional associations,699999,01/12/2016
Verband der Privaten Krankenversicherung e.V. (PKV),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
European Rural Poultry Association (ERPA),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Confederation of Danish Industry (DI),II - In-house lobbyists and trade/business/professional associations,1249999,01/12/2016
Eurogroup for Animals,III - Non-governmental organisations,199999,01/12/2016
"EUROPEAN MAR II, LDA. & COMANDITA (ZONA FRANCA DA MADEIRA) (Euromar)",I - Professional consultancies/law firms/self-employed consultants,1500000,01/12/2016
Federazione Nazionale dell'Industria Chimica italiana (FEDERCHIMICA),II - In-house lobbyists and trade/business/professional associations,399999,01/12/2016
McD Europe Franchising LLC (MEF LLC),II - In-house lobbyists and trade/business/professional associations,399999,01/12/2016
Greenpeace European Unit,III - Non-governmental organisations,594233,01/12/2016
Assoziation _kologischer Lebensmittelhersteller e.V. (A_L e.V.),III - Non-governmental organisations,130000,01/12/2016
Associazione Italiana per il Factoring (ASSIFACT),II - In-house lobbyists and trade/business/professional associations,9999,01/03/2016
Comit_ Europ_en des Entreprises Vins (CEEV),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2016
ASEGRE - Asociaciãn de Empresas Gestoras de Residuos y Recursos Especiales (ASEGRE),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Opel Automobile GmbH (Opel),II - In-house lobbyists and trade/business/professional associations,699999,01/12/2016
Conf_d_ration Fiscale Europ_enne (CFE),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
Alliance for Regenerative Medicine (ARM),III - Non-governmental organisations,199999,01/12/2016
DAIKIN APPLIED EUROPE (DAE),III - Non-governmental organisations,11250,01/03/2016
Bayerische Motoren Werke Aktiengesellschaft (BMW Group),II - In-house lobbyists and trade/business/professional associations,1499999,01/12/2016
UNION OF ROMANIAN INLAND PORTS (UPIR),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
Central Lobby Consultants Ltd (CLC),I - Professional consultancies/law firms/self-employed consultants,199999,01/03/2016
Svenska Fondhandlaref_reningen (FHF),II - In-house lobbyists and trade/business/professional associations,999999,01/12/2016
Lufthansa Group (LHG),II - In-house lobbyists and trade/business/professional associations,399999,01/12/2016
European CRO Federation (EUCROF),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
Initiative Urheberrecht,III - Non-governmental organisations,9999,01/12/2016
Copenhagen Airports A/S (CPH),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Conf_deration Europ_enne des Propri_taires Forestiers (CEPF),II - In-house lobbyists and trade/business/professional associations,399999,01/12/2016
Rockwool International A/S (RI),II - In-house lobbyists and trade/business/professional associations,199999,01/01/2016
Europacable,II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
European Crop Protection Association (ECPA),II - In-house lobbyists and trade/business/professional associations,699999,01/12/2016
International Capital Market Association (ICMA),II - In-house lobbyists and trade/business/professional associations,399999,01/12/2016
BNP Paribas Cardif,II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
Forschungsgruppe Lebensmittelsicherheit (FGL),"IV - Think tanks, research and academic institutions",9999,01/12/2016
Union des Industries Chimiques (UIC),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
Union of the Baltic Cities (UBC),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/12/2016
European Association for the Taps and Valves Industry (CEIR),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Daimler Aktiengesellschaft (DAI),II - In-house lobbyists and trade/business/professional associations,2749000,01/12/2016
XBRL Europe (XBRL Europe),III - Non-governmental organisations,9999,01/12/2016
Polish Spirits Industry (ZP PPS),II - In-house lobbyists and trade/business/professional associations,268846,01/12/2016
European Association of Co-operative Banks (EACB),II - In-house lobbyists and trade/business/professional associations,399999,01/12/2016
SINDICATO DE ENFERMERIA SATSE (SATSE),II - In-house lobbyists and trade/business/professional associations,18725,01/12/2016
BNP Paribas Personal Finance (BNP Paribas PF),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
Council of Bars and Law Societies of Europe (CCBE),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2016
Arla Foods amba (Arla),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
Verbraucherzentrale Bundesverband (vzbv),III - Non-governmental organisations,1249999,01/12/2016
BUSINESSEUROPE,II - In-house lobbyists and trade/business/professional associations,4249999,01/12/2016
Bundesverband der Dolmetscher und æbersetzer e.V. (BDæ),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Unistock Europe - Association of Professional Portside Storekeepers in the Food and Feed Chain (UNISTOCK),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
Finanssiala ry - Finance Finland (FA - FFI),II - In-house lobbyists and trade/business/professional associations,399999,01/12/2016
European Property Federation (EPF),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
"Tandem Social, SCCL (Tandem Social)",I - Professional consultancies/law firms/self-employed consultants,699999,01/12/2016
Union Europ_enne du Commerce du B_tail et des M_tiers de la Viande (U.E.C.B.V.),II - In-house lobbyists and trade/business/professional associations,599999,01/12/2016
State Street Corporation (STT),II - In-house lobbyists and trade/business/professional associations,799999,01/12/2016
Bayer AG,II - In-house lobbyists and trade/business/professional associations,1948000,01/12/2016
Pirelli & C. SpA,II - In-house lobbyists and trade/business/professional associations,299999,01/12/2016
GlaxoSmithKline (GSK),II - In-house lobbyists and trade/business/professional associations,1749000,01/12/2016
KIC InnoEnergy SE (KIC IE),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
European Express Association (EEA),II - In-house lobbyists and trade/business/professional associations,600000,01/12/2016
VocaLink,II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
Udruga ekolo_kih poljoprivrednih proizvo_a_a Hrvatske (UEPP),III - Non-governmental organisations,1000,01/12/2016
EVONIK INDUSTRIES AG,II - In-house lobbyists and trade/business/professional associations,1999999,01/12/2016
"Bund f™r Umwelt und Naturschutz Deutschland e.V. , Friends of the Earth Germany (BUND e.V.)",III - Non-governmental organisations,9999,01/12/2016
European Cigar Manufacturers Association (ECMA),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
Baltic Sea States Subregional Co-operation (BSSSC),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/12/2016
EDANA AISBL (EDANA),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Asociaciãn Espa_ola de Operadores de Productos Petrolêferos (AOP),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
Union des Industries et M_tiers de la M_tallurgie (UIMM),II - In-house lobbyists and trade/business/professional associations,399999,01/12/2016
CEDAG - Comit_ Europ_en des Associations d'int_rêt G_n_ral - European Council for non-profit organisations (CEDAG),III - Non-governmental organisations,9999,01/12/2016
Land- en Tuinbouw Organisatie Nederland (LTO Nederland),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
Brot f™r die Welt (BfdW),III - Non-governmental organisations,99999,01/12/2016
Federation of Veterinarians of Europe (FVE),II - In-house lobbyists and trade/business/professional associations,699999,01/12/2016
Deutscher Bauernverband (DBV),II - In-house lobbyists and trade/business/professional associations,280000,01/12/2016
Associaç o Portuguesa dos Industriais Grandes Consumidores de Energia El_ctrica (APIGCEE),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Union of European Foresters (UEF),III - Non-governmental organisations,24999,01/12/2016
Diakonie Katastrophenhilfe (DKH),III - Non-governmental organisations,99999,01/12/2016
CONFEDERACION ESPAÜOLA DE TRANSPORTE DE MERCANCIAS (CETM),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2016
G4S plc (G4S),II - In-house lobbyists and trade/business/professional associations,9999,01/03/2016
F_d_ration bancaire française (FBF),II - In-house lobbyists and trade/business/professional associations,999999,01/12/2016
Nordisk Folkecenter for Vedvarende Energi (NFC),III - Non-governmental organisations,239998,01/12/2016
UNION DES INDUSTRIES TEXTILES (UIT),II - In-house lobbyists and trade/business/professional associations,20000,01/12/2016
Danish Shipping,II - In-house lobbyists and trade/business/professional associations,499999,01/12/2016
International Swaps and Derivatives Association (ISDA),II - In-house lobbyists and trade/business/professional associations,2249999,01/12/2016
European Central Council of Homeopaths (ECCH),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
ACT Alliance Advocacy to the European Union (ACT Alliance EU),III - Non-governmental organisations,999999,01/12/2016
Eurodiaconia,III - Non-governmental organisations,299999,01/12/2016
European Federation of Public Service Unions (EPSU),II - In-house lobbyists and trade/business/professional associations,799999,01/12/2016
Trades Union Congress (UK) (TUC),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
CFA Institute,"IV - Think tanks, research and academic institutions",99999,01/08/2016
Institut de la Protection Sociale Europ_enne (Ipse),III - Non-governmental organisations,9999,01/12/2016
Verband Kommunaler Unternehmen e.V. (VKU),II - In-house lobbyists and trade/business/professional associations,599999,01/12/2016
European Coalition for Corporate Justice (ECCJ),III - Non-governmental organisations,92362,01/12/2016
Danske Maritime (DM),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
European Confederation of Fuel Distributors (ECFD),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Verband Deutscher Maschinen- und Anlagenbau e.V. (VDMA),II - In-house lobbyists and trade/business/professional associations,4499999,01/12/2016
"Asociatia Nationala a Producatorilor din Pescarie ""ROMFISH"" (ANPP ROMFISH)",III - Non-governmental organisations,49999,01/12/2016
"Instituto do Petrãleo e Gös, Associaç o para a Investigaç o e Formaç o Avançada (ISPG)",II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
European Regions Airline Association Ltd. (ERA),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Deutscher Zigarettenverband e.V. (DZV),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
International Video Federation (IVF),II - In-house lobbyists and trade/business/professional associations,199999,01/10/2016
Oracle (ORCL),II - In-house lobbyists and trade/business/professional associations,899999,01/05/2016
"European Union Of Wholesale with Eggs, Egg Products and Poultry and Game (EUWEP)",II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
Bundesverband der Pharmazeutischen Industrie e.V. (BPI e.V.),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
Bundesverband Äffentlicher Banken Deutschlands (VÄB),II - In-house lobbyists and trade/business/professional associations,2999999,01/12/2016
Joint Nature Conservation Committee (JNCC),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",899999,01/03/2016
Eumedion,II - In-house lobbyists and trade/business/professional associations,3000,01/12/2016
Fleishman-Hillard,I - Professional consultancies/law firms/self-employed consultants,6999999,01/12/2016
Hill & Knowlton International Belgium (H+K),I - Professional consultancies/law firms/self-employed consultants,2499999,01/12/2016
AIFM Federation Austria,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
European University College Association (EUCA),III - Non-governmental organisations,24999,01/12/2016
Transport en Logistiek Nederland (TLN),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
F_d_ration des entreprises internationales de la m_canique et de l'_lectronique (FICIME),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2016
Association des Chambres de Commerce et d'Industrie de Paris/Ile-de-France (CCIPIF),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
Heineken N.V.,II - In-house lobbyists and trade/business/professional associations,499999,01/12/2016
THALES,II - In-house lobbyists and trade/business/professional associations,300000,01/12/2016
F_d_ration Nationale des Travaux Publics (FNTP),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2016
European Quadricycle League (EQUAL),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
Deutscher Raiffeisenverband e.V. (DRV),II - In-house lobbyists and trade/business/professional associations,112500,01/12/2016
European Hydrogen Association EHA (EHA),III - Non-governmental organisations,90000,01/12/2016
European Suppliers of Waste-to-Energy Technology (ESWET),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
Sarasin & Partners LLP (S&P),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
EU-Asia Centre (EAC),"IV - Think tanks, research and academic institutions",9999,01/10/2016
